,id,title,rating,image_path,overview,vote_count,director,actor,country,release,movie_rating,runtime,genre,description,ott,,,,,,,,,,
11,87,Indiana Jones and the Temple of Doom,7.3,/wdv7EdutnHid5J0GERoq8lWUfq9.jpg,"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees ??and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.",7095,Steven Spielberg,"Harrison Ford, Kate Capshaw, Amrish Puri, Roshan Seth, Philip Stone, Roy Chiao, Jonathan Ke Quan, David Yip, Ric Young, Chua Kah Joo",United States,1984,PG,119 min,"Action & Adventure, Children & Family Movies, Classic Movies","Indiana Jones, his young sidekick and a spoiled songbird get more than they bargained for when they go to India in search of a missing magical stone.",netflix,,,,,,,,,,
12,89,Indiana Jones and the Last Crusade,7.8,/sizg1AU8f8JDZX4QIgE4pjUMBvx.jpg,"When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana must team up with Marcus Brody, Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life.",7798,Steven Spielberg,"Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody, John Rhys-Davies, Julian Glover, River Phoenix, Michael Byrne, Kevork Malikyan, Robert Eddison",United States,1989,PG-13,127 min,"Action & Adventure, Children & Family Movies, Classic Movies","Accompanied by his father, Indiana Jones sets off on his third adventure to explore the cradle of civilization on a perilous hunt for the Holy Grail.",netflix,,,,,,,,,,
13,95,Armageddon,6.8,/eTM3qtGhDU8cvjpoa6KEt5E2auU.jpg,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.",6297,Michael Bay,"Bruce Willis, Billy Thornton, Liv Tyler, Ben Affleck, Will Patton, Peter Stormare, Keith David",United States,1998,PG-13,151 min,"Action, Adventure",A large asteroid is heading directly toward Earth.,amazon,,,,,,,,,,
14,97,Tron,6.7,/zwSFEczP7AzqugAHHIX3zHniT0t.jpg,"As Kevin Flynn searches for proof that he invented a hit video game, he is 'digitized' by a laser and finds himself inside 'The Grid', where programs suffer under the tyrannical rule of the Master Control Program (MCP). With the help of a security program called 'TRON', Flynn seeks to free The Grid from the MCP.",1664,Steven Lisberger,"Jeff Bridges, Bruce Boxleitner, David Warner, Cindy Morgan, Barnard Hughes, Dan Shor",United States,1982,PG,96 min,"Action-Adventure, Family, Science Fiction","After practicing his hacking chops, a brilliant video game maker becomes part of his own creation.",disney,,,,,,,,,,
15,103,Taxi Driver,8.2,/ekstpH614fwDX8DUln1a2Opz0N8.jpg,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action, attempting to save a preadolescent prostitute in the process.",8839,Daniel Oriahi,"Odunlade Adekola, Ijeoma Grace Agu, Richard Akinlade, Babajide Alimison, Hafeez Oyetoro, Femi Jacobs, Toyin Oshinaike, Kelechi Udegbe",Nigeria,2015,TV-MA,94 min,"Comedies, Dramas, Independent Movies","After his father dies, a young mechanic moves to the city to drive the old man?ôs taxi, and encounters assassins and a motley crew of urban weirdos.",netflix,,,,,,,,,,
16,107,Snatch,7.8,/56mOJth6DJ6JhgoE2jtpilVqJO.jpg,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",7008,,,,2000,R,103 min,"Action, Adventure, Comedy","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewelers fight to track down a priceless stolen diamond in this crime comedy.",hulu,,,,,,,,,,
17,114,Pretty Woman,7.4,/hMVMMy1yDUvdufpTl8J8KKNYaZX.jpg,"When a millionaire wheeler-dealer enters a business contract with a Hollywood hooker Vivian Ward, he loses his heart in the bargain.",6124,Garry Marshall,"Richard Gere, Julia Roberts",,1990,R,120 min,Comedy,A classic rags-to-riches love story.,amazon,,,,,,,,,,
18,117,The Untouchables,7.8,/8BquGK22zCcsmBWiaIakaaPpSZb.jpg,"Young Treasury Agent Elliot Ness arrives in Chicago and is determined to take down Al Capone, but it's not going to be easy because Capone has the police in his pocket. Ness meets Jimmy Malone, a veteran patrolman and probably the most honorable one on the force. He asks Malone to help him get Capone, but Malone warns him that if he goes after Capone, he is going to war.",4373,,,,1987,R,119 min,"Classics, Crime, Drama",This theatrical feature is based on the popular TV series about the campaign of U.S. Prohibition Bureau agent Eliot Ness to smash the beer and booze empire of Al Capone in 1920s Chicago.,hulu,,,,,,,,,,
19,118,Charlie and the Chocolate Factory,7,/wfGfxtBkhBzQfOZw4S8IQZgrH0a.jpg,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",12013,Tim Burton,"Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter, Noah Taylor, Missi Pyle, James Fox, Deep Roy, Christopher Lee, Adam Godley, AnnaSophia Robb, Julia Winter, Jordan Fry, Philip Wiegratz","United Kingdom, United States",2005,PG,115 min,"Children & Family Movies, Comedies",The eccentric Willy Wonka opens the doors of his candy factory to five lucky kids who learn the secrets behind his amazing confections.,netflix,,,,,,,,,,
20,121,The Lord of the Rings: The Two Towers,8.4,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",17422,Peter Jackson,"Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Cate Blanchett, John Rhys-Davies, Bernard Hill, Christopher Lee, Billy Boyd, Dominic Monaghan, Orlando Bloom","New Zealand, United States",2002,PG-13,179 min,"Action & Adventure, Sci-Fi & Fantasy","Frodo and Sam head to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin.",netflix,,,,,,,,,,
