,id,title,rating,image_path,overview,vote_count,director,actor,country,release,movie_rating,runtime,genre,description,ott,,,,,,,,,,
355,4978,An American Tail,6.7,/wjhUy9af89vc9CviKcPgTNTrmIq.jpg,"A young mouse named Fievel and his family decide to migrate to America, a ""land without cats,"" at the turn of the 20th century. But somehow, Fievel ends up in the New World alone and must fend off not only the felines he never thought he'd have to deal with again but also the loneliness of being away from home.",1037,Don Bluth,"Erica Yohn, Nehemiah Persoff, Amy Green, Phillip Glasser, Christopher Plummer, John Finnegan, Will Ryan, Hal Smith, Dom DeLuise, Madeline Kahn",United States,1986,G,80 min,Children & Family Movies,"Fievel, a young Russian mouse, immigrates to America and must make his own way in the strange and sometimes perilous new world.",netflix,,,,,,,,,,
356,4995,Boogie Nights,7.6,/cLyH1ThGaNazatJblc36Mthb0ea.jpg,"Set in 1977, back when sex was safe, pleasure was a business and business was booming, idealistic porn producer Jack Horner aspires to elevate his craft to an art form. Horner discovers Eddie Adams, a hot young talent working as a busboy in a nightclub, and welcomes him into the extended family of movie-makers, misfits and hangers-on that are always around. Adams' rise from nobody to a celebrity adult entertainer is meteoric, and soon the whole world seems to know his porn alter ego, ""Dirk Diggler"". Now, when disco and drugs are in vogue, fashion is in flux and the party never seems to stop, Adams' dreams of turning sex into stardom are about to collide with cold, hard reality.",2334,Paul Thomas Anderson,"Mark Wahlberg, Burt Reynolds, Julianne Moore, Heather Graham, William H. Macy, Don Cheadle, Philip Seymour Hoffman, Luis Guzm√°n, John C. Reilly, Philip Baker Hall",United States,1997,R,155 min,"Comedies, Dramas, Independent Movies",A well-endowed busboy is taken in by a tight-knit group of 1970s porn actors and transforms himself into skin flick celebrity Dirk Diggler.,netflix,,,,,,,,,,
357,5255,The Polar Express,6.7,/zCuq1sy3xwbJJytFttp2qItqdc8.jpg,"When a doubting young boy takes an extraordinary train ride to the North Pole, he embarks on a journey of self-discovery that shows him that the wonder of life never fades for those who believe.",4859,Robert Zemeckis,"Tom Hanks, Leslie Zemeckis, Eddie Deezen, Nona Gaye, Peter Scolari, Brendan King, Andy Pellick, Michael Jeter, Chris Coppola, Julene Renee",United States,2004,G,100 min,Children & Family Movies,"In this warm-hearted tale, a young boy's faith in the holiday spirit is revived after he makes his way by train to the North Pole on Christmas Eve.",netflix,,,,,,,,,,
358,5375,Fred Claus,5.8,/2xAXyHW08uDfthA2mhtXVH4ZRGN.jpg,"Fred Claus and Santa Claus have been estranged brothers for many years. Now Fred must reconcile his differences with his brother whom he believes overshadows him. When an efficiency expert assesses the workings at the North Pole and threatens to shut Santa down, Fred must help his brother to save Christmas.",658,David Dobkin,"Vince Vaughn, Paul Giamatti, John Michael Higgins, Miranda Richardson, Rachel Weisz, Kathy Bates, Trevor Peacock, Ludacris, Elizabeth Banks",United States,2007,PG,115 min,"Children & Family Movies, Comedies",The holiday season is ruined for Santa Claus when his cranky older brother ??a repo man with a sizable rap sheet ??visits him at the North Pole.,netflix,,,,,,,,,,
359,5458,Cruel Intentions 2,4.9,/pm0y9yZItfm4EHlGo7oQ0wq1Agk.jpg,"After his precocious behavior has gotten him bounced out of one more in a string of exclusive private schools, 16-year old Sebastian Valmont has arrived in New York City to live with his father and stepmother. The cunning and handsome Sebastian may have met his match, however in his equally manipulative and beautiful stepsister Kathryn Merteuil.",276,Roger Kumble,"Amy Adams, Mimi Rogers",,2000,R,87 min,Drama,"This takes place several years before Cruel Intentions, back to when Kathryn first meets Sebastian, their sexual attraction to each other and their enjoyment in destroying the lives of their peers.",amazon,,,,,,,,,,
360,5460,Cruel Intentions 3,4.7,/pxjJf3QnZxe3EO8NuwEeK0Yldcd.jpg,"Meet Cassie, Jason and Patrick, three amoral college students who, through a series of sexual wagers, take malicious pleasure in ruining the lives of their fellow classmates.",148,Scott Ziehl,"Kerr Smith, Nathan Wetherington, Kristina Anapau",,2004,R,85 min,Drama,"The three most ruthless students at a prestigious college take malicious pleasure in ruining the lives of their fellow classmates through a series of sexual wagers. Bored with such easy prey, two agree to one final bet, a winner-take-all game of seduction and revenge, where the female of the gang becomes the grand prize and the loser is forced to experience a whole new level of pleasure -and pain.",amazon,,,,,,,,,,
361,5491,Battlefield Earth,3.2,/neMUscYddxr4cP8wnRHRMLcWS0A.jpg,"In the year 3000, man is no match for the Psychlos, a greedy, manipulative race of aliens on a quest for ultimate profit. Led by the powerful Terl, the Psychlos are stripping Earth clean of its natural resources, using the broken remnants of humanity as slaves. What is left of the human race has descended into a near primitive state. After being captured, it is up to Tyler to save mankind.",626,Roger Christian,"John Travolta, Barry Pepper, Forest Whitaker, Kim Coates, Sabine Karsenti, Richard Tyson, Kelly Preston, Michael MacRae, Shaun Austin-Olsen, Tim Post, Michael Byrne",United States,2000,PG-13,118 min,"Action & Adventure, Cult Movies, Sci-Fi & Fantasy","In the year 3000, an alien race known as the Psychlos devastate planet Earth and force the surviving human population into slavery.",netflix,,,,,,,,,,
362,5559,Bee Movie,6,/rYBaXgvTKFS8iZC7Wr8SMomSauQ.jpg,"Barry B. Benson, a bee who has just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey, and subsequently decides to sue us.",3868,"Steve Hickner, Simon J. Smith","Jerry Seinfeld, Ren√©e Zellweger, Matthew Broderick, Patrick Warburton, John Goodman, Chris Rock, Kathy Bates, Barry Levinson, Larry King, Ray Liotta",United States,2007,PG,92 min,"Children & Family Movies, Comedies","Barry, a worker bee stuck in a dead-end job making honey, sues humans when he learns they've been stealing bees' nectar all along.",netflix,,,,,,,,,,
364,5689,The Blue Lagoon,6.2,/hg57Zr63A96mpIQKHxOjHYqCVhI.jpg,"Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?",1383,Randal Kleiser,"Brooke Shields, Christopher Atkins, Leo McKern, William Daniels, Elva Josephson, Glenn Kohan, Alan Hopgood, Gus Mercurio",United States,1980,R,105 min,"Dramas, Romantic Movies","Two shipwrecked children, stranded for years on a deserted island, fall in love as teenagers and attempt to forge a life in the isolated paradise.",netflix,,,,,,,,,,
365,5852,Angel Eyes,6.1,/6ZeMoynnz4pRweKKZ9c2G1absMJ.jpg,"A story about a seemingly unlikely couple who cross paths under life-threatening circumstances as though they are destined not only to meet but to save each other's lives. Not once, but twice.",313,Luis Mandoki,"Jennifer Lopez, Jim Caviezel, Sonia Braga, Terrence Howard, Jeremy Sisto, Monet Mazur, Victor Argo, Shirley Knight",United States,2001,R,103 min,"Dramas, Romantic Movies","When a violent assault leaves her vulnerable, a streetwise Chicago cop receives help from a haunted loner who's struggling with traumas of his own.",netflix,,,,,,,,,,
367,5902,A Bridge Too Far,7.2,/uT6uNuudQX1YU5yYLeYuWdG19mx.jpg,"Operation Market Garden, September 1944. The Allies attempt to capture several strategically important bridges in the Netherlands in the hope of breaking the German lines.",556,Richard Attenborough,"Dirk Bogarde, James Caan, Michael Caine, Sean Connery, Edward Fox, Elliott Gould, Gene Hackman, Anthony Hopkins, Hardy Kr√ºger, Laurence Olivier, Ryan O'Neal, Robert Redford, Maximilian Schell, Liv Ullmann","United States, United Kingdom",1977,PG,176 min,"Action & Adventure, Classic Movies, Dramas",This wartime drama details a pivotal day in 1944 when an Allied task force tried to win World War II by seizing control of key bridges in Holland.,netflix,,,,,,,,,,
368,5915,Into the Wild,7.8,/2MSGZEE6XZd2r4ODNziwAw7Hpw0.jpg,"After graduating from Emory University in 1992, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity, and hitchhikes to Alaska to live in the wilderness.",7987,Sean Penn,"Emile Hirsch, Marcia Gay Harden, William Hurt, Jena Malone, Brian Dierker, Catherine Keener, Vince Vaughn, Kristen Stewart, Hal Holbrook, Zach Galifianakis",United States,2007,R,148 min,"Action & Adventure, Dramas, Independent Movies",A young man gives up everything ??including his trust fund and ties to a seemingly stable family ??to lead a solitary life in the wild.,netflix,,,,,,,,,,
369,5924,Papillon,7.9,/iEX7InvPSZeMzBVjYrEnD3Od7ZY.jpg,"A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape.",1389,Michael Noer,"Charlie Hunnam, Rami Malek, Yorick van Wageningen, Roland M√∏ller, Tommy Flanagan, Eve Hewson",,2018,R,133 min,"Action, Adventure, Drama","After being framed and ultimately imprisoned on Devil's Island, Henri ""Papillon"" Charri√®re (Charlie Hunnam) forms a pact with Louis Dega (Rami Malek) to finance his escape.",amazon,,,,,,,,,,
370,5924,Papillon,7.9,/iEX7InvPSZeMzBVjYrEnD3Od7ZY.jpg,"A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape.",1389,,,"United States, Czech Republic, Spain",2017,R,133 min,"Action, Adventure, Drama","In this remake of the 1973 classic, Papillon, a French prisoner forms an unlikely bond with a fellow inmate and finds the will to ensure they both survive.",hulu,,,,,,,,,,
372,6023,P.S. I Love You,7.2,/nuOGIDqDFaX20i4Zfi5VN47lqXh.jpg,A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.,2817,Richard LaGravenese,"Hilary Swank, Gerard Butler, Lisa Kudrow, Gina Gershon, James Marsters, Kathy Bates, Harry Connick Jr., Nellie McKay, Jeffrey Dean Morgan, Dean Winters",United States,2007,PG-13,126 min,"Dramas, Romantic Movies","When she loses her beloved husband to a brain tumor, grieving widow Holly Kennedy learns that he left a series of letters behind to help her cope.",netflix,,,,,,,,,,
373,6038,Shanghai Knights,6.1,/vVNQStMlZS9mn2AKBEpadRunHgt.jpg,"The dynamic duo of Chon Wang and Roy O'Bannon return for another crazy adventure. This time, they're in London to avenge the murder of Chon's father, but end up on an even bigger case. Chon's sister is there to do the same, but instead unearths a plot to kill the royal family. No one believes her, though, and it's up to Chon and Roy (who has romance on his mind) to prove her right.",1796,David Dobkin,"Jackie Chan, Owen Wilson, Donnie Yen, Aidan Gillen",,2003,PG-13,114 min,"Action, Adventure, Comedy",HD. Jackie Chan and Owen Wilson hop back in the saddle in this sequel to ?úShanghai Noon??that finds the duo in London to solve a mystery.,amazon,,,,,,,,,,
374,6145,Fracture,7.3,/qNen8x5gaikjIg9CFihgxYcJwQe.jpg,"A husband is on trial for the attempted murder of his wife, in what is seemingly an open/shut case for the ambitious district attorney trying to put him away. However, there are surprises for both around every corner, and, as a suspenseful game of cat-and-mouse is played out, each must manipulate and outwit the other.",2993,Gregory Hoblit,"Anthony Hopkins, Ryan Gosling, David Strathairn, Rosamund Pike, Embeth Davidtz, Billy Burke, Cliff Curtis, Fiona Shaw, Bob Gunton, Josh Stamberg","United States, Germany",2007,R,113 min,"Dramas, Thrillers","Ted Crawford, who allegedly attempted to murder his wife, is now locked in a battle of wits with a young assistant district attorney.",netflix,,,,,,,,,,
375,6171,Dreamcatcher,5.5,/vEA305YK7QCjK02NP5OFqYsDEVQ.jpg,"Four boyhood pals perform a heroic act and are changed by the powers they gain in return. Years later, on a hunting trip in the Maine woods, they're overtaken by a vicious blizzard that harbors an ominous presence. Challenged to stop an alien force, the friends must first prevent the slaughter of innocent civilians by a military vigilante ... and then overcome a threat to the bond that unites the four of them.",1381,,,,2021,,108 min,"Horror, Thriller","The film centers on two estranged sisters who, along with their friends, become entrenched in a 48 hour whirlwind of violence after a traumatic experience at an underground music festival.",hulu,,,,,,,,,,
376,6279,Sister Act 2: Back in the Habit,6.4,/dlkBp5S6Ei5f54031rAhyb4IwML.jpg,"Deloris Van Cartier is again asked to don the nun's habit to help a run-down Catholic school, presided over by Mother Superior. And if trying to reach out to a class full of uninterested students wasn't bad enough, the sisters discover that the school is due to be closed by the unscrupulous chief of a local authority.",1373,Bill Duke,"Whoopi Goldberg, Kathy Najimy, Barnard Hughes, Mary Wickes, James Coburn, Michael Jeter",United States,1993,PG,108 min,"Comedy, Family, Music",Deloris goes back undercover to try to save a troubled inner-city school.,disney,,,,,,,,,,
377,6280,Junior,5.1,/eQmgPrXf7c7daRdl3Zwgm65lw3o.jpg,"As part of a fertility research project, a male scientist agrees to carry a pregnancy in his own body.",1116,,,,1994,PG-13,110 min,"Comedy, Romance","A male fertility research scientist decides to test the latest drug on himself - and becomes the world's first pregnant man! With Emma Thompson, Frank Langella.",hulu,,,,,,,,,,
378,6282,Coyote Ugly,6.3,/xYM0laKrEqjiRSQNvqRrXPXN3iL.jpg,"Graced with a velvet voice, 21-year-old Violet Sanford heads to New York to pursue her dream of becoming a songwriter only to find her aspirations sidelined by the accolades and notoriety she receives at her ""day"" job as a barmaid at Coyote Ugly. The ""Coyotes"" as they are affectionately called tantalize customers and the media alike with their outrageous antics, making Coyote Ugly the watering hole for guys on the prowl.",1637,,,,2000,PG-13,101 min,"Comedy, Drama, Romance","A Jersey girl moves to New York to become a songwriter, only to wind up with a job as a dancing barmaid.",hulu,,,,,,,,,,
379,6477,Alvin and the Chipmunks,5.8,/fONOOf3RmWnCKFwSl9e0z61KlZs.jpg,"A struggling songwriter named Dave Seville finds success when he comes across a trio of singing chipmunks: mischievous leader Alvin, brainy Simon, and chubby, impressionable Theodore.",3556,Tim Hill,"Jason Lee, David Cross, Cameron Richardson, Jane Lynch, Justin Long, Matthew Gray Gubler",United States,2007,PG,91 min,"Animation, Comedy, Family","Pop-singer Chipmunks Alvin, Simon and Theodore turn a songwriter's life upside-down.",disney,,,,,,,,,,
380,6519,The Dukes of Hazzard,5.5,/o5pKtw26jEk7zX2446gPVbTNrFb.jpg,"Cousins, Bo and Luke Duke, with the help of their eye-catching cousin, Daisy and moonshine-running Uncle Jesse, try and save the family farm from being destroyed by Hazzard County's corrupt commissioner, Boss Hogg. Their efforts constantly find the 'Duke Boys' eluding authorities in 'The General Lee', their 1969 orange Dodge Charger that keeps them one step ahead of the dimwitted antics of the small southern town's Sheriff, Roscoe P. Coltrane.",872,Jay Chandrasekhar,"Johnny Knoxville, Seann William Scott, Jessica Simpson, Burt Reynolds, M.C. Gainey, David Koechner, Kevin Heffernan, James Roday, Michael Roof, Joe Don Baker",United States,2005,PG-13,104 min,"Action & Adventure, Comedies","The Duke boys are back in this comedy based on the TV series, following Bo and Luke as they tear around Hazzard County in their trusty Dodge Charger.",netflix,,,,,,,,,,
381,6520,First Knight,6.1,/xuXkCcrvUTkehVXuTGpnfySsx0Z.jpg,"The timeless tale of King Arthur and the legend of Camelot are retold in this passionate period drama. Arthur is reluctant to hand the crown to Lancelot, and Guinevere is torn between her loyalty to her husband and her growing love for his rival. But Lancelot must balance his loyalty to the throne with the rewards of true love.",896,,,,1995,PG-13,134 min,"Action, Adventure, Drama","A new vision of Camelot, filled with breathtaking battles, heart-pounding courage and love that brought a kingdom to its knees. Starring Sean Connery and Richard Gere.",hulu,,,,,,,,,,
383,6589,Underdog,5.3,/cS6tRaAvjWPjVSRnkhUi4EPX6dk.jpg,A lab accident gives a hound named Shoeshine some serious superpowers -- a secret that the dog eventually shares with the young boy who becomes his owner and friend.,541,Frederik Du Chau,"Jason Lee, Amy Adams, Jim Belushi, Peter Dinklage, Patrick Warburton, Alex Neuberger",United States,2007,PG,85 min,"Action-Adventure, Family, Parody",A super-powered beagle tries to save Capital City from a mad scientist.,disney,,,,,,,,,,
384,6637,National Treasure: Book of Secrets,6.3,/xxoIBbvmTj1ZttzV439jAvoovTw.jpg,"Benjamin Franklin Gates and Dr. Abigail Chase re-team with Riley Poole and, now armed with a stack of long-lost pages from John Wilkes Booth's diary, Ben must follow a clue left there to prove his ancestor's innocence in the assassination of Abraham Lincoln.",4119,Jon Turteltaub,"Nicolas Cage, Jon Voight, Harvey Keitel, Ed Harris, Diane Kruger, Justin Bartha",United States,2007,PG,125 min,"Action-Adventure, Mystery, Thriller",Ben Gates must kidnap the president to prove his ancestor's innocence.,disney,,,,,,,,,,
385,6644,El Dorado,7.4,/1m0FvpIPs2dYn3VN3natAN7plsC.jpg,"Cole Thornton, a gunfighter for hire, joins forces with an old friend, Sheriff J.P. Hara. Together with an old indian fighter and a gambler, they help a rancher and his family fight a rival rancher that is trying to steal their water.",355,,,,1967,TV-PG,126 min,"Action, Adventure","A gunslinger and his shotgun-wielding sidekick attempt to sober up a drunken sheriff to protect a homesteader from a greedy land baron. A classic, with James Caan, directed by Howard Hawks.",hulu,,,,,,,,,,
386,6646,Treasure Island,6.5,/cyMTfmyPvqLAzKhyaGsJTdqpWCU.jpg,"Enchanted by the idea of locating treasure buried by Captain Flint, Squire Trelawney, Dr. Livesey and Jim Hawkins charter a sailing voyage to a Caribbean island. Unfortunately, a large number of Flint's old pirate crew are aboard the ship, including Long John Silver.",129,Byron Haskin,"Bobby Driscoll, Robert Newton, Basil Sydney, Walter Fitzgerald, Denis O'Dea, Finlay Currie","United Kingdom, United States",1950,PG,96 min,"Action-Adventure, Family",The classic tale of a young boy's search for buried treasure.,disney,,,,,,,,,,
388,6723,The Rookie,5.9,/pr37i12Qe1gGxMBf6GTIDZvfFIT.jpg,"Veteran cop Nick Pulovski is used to playing musical partners; many of the partners he's had in the past have died on the job, and often as a result of Nick's risky tactics. But the rookie who's been assigned to help Nick bust a carjacking ring is almost as hotheaded as he is ??and when Nick gets kidnapped, his newbie partner is his only hope.",380,John Hancock,"Dennis Quaid, Rachel Griffiths, Jay Hernandez, Beth Grant, Angus Jones, Brian Cox",United States,2002,G,129 min,"Biographical, Family, Sports",A high school baseball coach gets a second chance as a big-league pitcher.,disney,,,,,,,,,,
389,6878,Homeward Bound: The Incredible Journey,6.9,/el6dJEpK97OJRQiQhuiSGk2jkV5.jpg,"Remake of the popular Disney classic, this time featuring some well known voices as two dogs and a cat trek across America encountering all sorts of adventures in the quest to be reunited with their owners.",778,Duwayne Dunham,"Robert Hays, Kim Greist, Jean Smart, Veronica Lauren, Kevin Chevalia, Benj Thall",United States,1993,G,85 min,"Action-Adventure, Animals & Nature, Family",Two dogs and a cat embark on a great American journey to find their owners.,disney,,,,,,,,,,
391,6947,The Village,6.4,/v7UvYtKfIVaHLaHwVgfalyrK7Ho.jpg,"When a willful young man tries to venture beyond his sequestered Pennsylvania hamlet, his actions set off a chain of chilling incidents that will alter the community forever.",3180,,,,2004,PG-13,108 min,"Horror, Thriller",An idyllic village is threatened by creatures in the woods nearby.,hulu,,,,,,,,,,
393,6964,Something's Gotta Give,6.6,/4fQJjwbDf1KELvJJMcmAV6AxJdH.jpg,"Harry Sanborn is an aged music industry exec with a fondness for younger women like Marin, his latest trophy girlfriend. Things get a little awkward when Harry suffers a heart attack at the home of Marin's mother, Erica. Left in the care of Erica and his doctor, a love triangle starts to take shape.",1232,Nancy Meyers,"Jack Nicholson, Diane Keaton, Keanu Reeves, Frances McDormand, Amanda Peet, Jon Favreau, Paul Michael Glaser, Rachel Ticotin",United States,2003,PG-13,128 min,"Comedies, Romantic Movies","Still sexy at 60, Harry Sanborn wines and dines women half his age. But a getaway with his girlfriend goes awry when her mother drops in unannounced.",netflix,,,,,,,,,,
395,7183,Perfect Stranger,5.8,/i7D5QqQ0q5EXU1UuZVY9KwIxoYR.jpg,"A journalist goes undercover to ferret out businessman Harrison Hill as her best friend's killer. Posing as one of his temps, she enters into a game of online cat-and-mouse.",683,James Foley,"Halle Berry, Bruce Willis, Giovanni Ribisi, Richard Portnow, Gary Dourdan, Florencia Lozano, Nicki Aycox, Kathleen Chalfant, Gordon MacDonald, Daniella Van Graas",United States,2007,R,109 min,Thrillers,Ro risks her life to discover the identity of a stranger lurking on the Internet who might hold the answers to her friend's murder.,netflix,,,,,,,,,,
396,7191,Cloverfield,6.6,/qIegUGJqyMMCRjkKV1s7A9MqdJ8.jpg,"Five young New Yorkers throw their friend a going-away party the night that a monster the size of a skyscraper descends upon the city. Told from the point of view of their video camera, the film is a document of their attempt to survive the most surreal, horrifying event of their lives.",5622,Matt Reeves,"Lizzy Caplan, Jessica Lucas, T.J. Miller, Michael Stahl-David, Mike Vogel, Odette Annable, Anjul Nigam, Margot Farley, Theo Rossi, Brian Klugman",United States,2008,PG-13,85 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",A going-away party in Manhattan is interrupted when a mysterious monster of epic proportions launches an attack on New York City.,netflix,,,,,,,,,,
397,7214,Coach Carter,7.5,/y3HOTTyM5nLsdUzXFtFCohG28qj.jpg,"Based on a true story, in which Richmond High School head basketball coach Ken Carter made headlines in 1999 for benching his undefeated team due to poor academic results.",2009,Thomas Carter,"Samuel L. Jackson, Rob Brown, Robert Ri'chard, Rick Gonzalez, Nana Gbewonyo, Antwon Tanner, Channing Tatum, Ashanti, Texas Battle, Denise Dowse, Debbi Morgan","United States, Germany",2005,PG-13,137 min,"Dramas, Sports Movies",Controversial basketball coach Ken Carter puts school before sports and benches his undefeated high school team for poor academic performance.,netflix,,,,,,,,,,
398,7278,Meet the Spartans,4,/DWQOjAPvM8Kk1Qp3Xq0zae0Z6w.jpg,"The heroic Leonidas, armed with nothing but leather underwear and a cape, leads a ragtag group of 13 Spartans to defend their homeland against the invading Persians (whose ranks include Ghost Rider, Rocky Balboa, the Transformers, and a hunchbacked Paris Hilton). No one is safe when the Spartans take on the biggest icons in pop culture!",1249,"Jason Friedberg, Aaron Seltzer",Carmen Electra,,2008,PG-13,84 min,Comedy,"From the creators of Date Movie comes this tongue-in-cheek parody of the sword-and-sandal epics, dubbed MEET THE SPARTANS.",amazon,,,,,,,,,,
399,7299,Equilibrium,7,/q6VzUsHs4Z3myBHkrPAA3avfGwn.jpg,"In a dystopian future, a totalitarian regime maintains peace by subduing the populace with a drug, and displays of emotion are punishable by death. A man in charge of enforcing the law rises to overthrow the system.",3511,Kurt Wimmer,"Christian Bale, Emily Watson, Taye Diggs, Angus Macfadyen, Sean Bean, Sean Pertwee, Matthew Harbour, William Fichtner",United States,2002,R,107 min,"Action & Adventure, Dramas, Sci-Fi & Fantasy","In a dystopian future, a totalitarian regime maintains peace by subduing the populace with a drug, and displays of emotion are punishable by death.",netflix,,,,,,,,,,
400,7299,Equilibrium,7,/q6VzUsHs4Z3myBHkrPAA3avfGwn.jpg,"In a dystopian future, a totalitarian regime maintains peace by subduing the populace with a drug, and displays of emotion are punishable by death. A man in charge of enforcing the law rises to overthrow the system.",3511,,,United States,2002,R,107 min,Science Fiction,"In a futuristic world, a strict regime has eliminated war by suppressing emotions: books, art and music are strictly forbidden and feeling is a crime punishable by death.",hulu,,,,,,,,,,
401,7305,Alive,6.8,/uQACcCZqd7WCTRin9xRIW5gr1bd.jpg,"The amazing, true story of a Uruguayan rugby team's plane that crashed in the middle of the Andes mountains, and their immense will to survive and pull through alive, forced to do anything and everything they could to stay alive on meager rations and through the freezing cold.",1067,,,,2019,TV-PG,67 min,Documentaries,Alive follows the journeys of a number of veterans who turn to adaptive athletics to help them heal both physically and emotionally from their battle wounds.,hulu,,,,,,,,,,
402,7340,Carrie,7.3,/uc3OvgmbnYaS5Y0BOjSmC1EmSz1.jpg,"Carrie White, a shy and troubled teenage girl who is tormented by her high school peers and her fanatically religious mother, begins to use her powers of telekinesis to exact revenge upon them.",2773,Brian De Palma,"Sissy Spacek, Piper Laurie, Amy Irving, William Katt, John Travolta, Nancy Allen, Betty Buckley, P.J. Soles, Priscilla Pointer, Sydney Lassick, Stefan Gierasch, Michael Talbott, Doug Cox, Harry Gold, Noelle North",United States,1976,R,98 min,"Classic Movies, Cult Movies, Horror Movies","An outcast teen with telekinetic ability lashes out with her deadly power when the high school ""in crowd"" torments her with a sick joke at the prom.",netflix,,,,,,,,,,
403,7341,The Rage: Carrie 2,5.7,/fiGEbHu1CzpTpo4fiAZqXlMJPle.jpg,"After the suicide of her only friend, Rachel has never felt more on the outside. The one person who reached out to her, Jessie, also happens to be part of the popular crowd that lives to torment outsiders like her. But Rachel has something else that separates her from the rest, a secret amazing ability to move things with her mind. Sue Snell, the only survivor of Carrie White's rampage twenty-two years ago, may hold the key to helping Rachel come to terms with her awesome, but unwanted power. But as Rachel slowly learns to trust, a terrible trap is being laid for her. And making her angry could prove to be fatal.",289,Katt Shea,"Amy Irving, Dylan Bruno, Emily Bergl, J. Smith-Cameron, Jason London",,1999,R,105 min,"Fantasy, Horror, Science Fiction",Rachel (Emily Bergl) is a high school misfit who gets caught in the middle of a prank orchestrated by a group of jocks a prank that turns deadly.,amazon,,,,,,,,,,
404,7342,Carrie,6.2,/knjeEeeyIwDkUtZwDfJOcUIuNdB.jpg,"Carrie White is a lonely and painfully shy teenage girl with telekinetic powers who is slowly pushed to the edge of insanity by frequent bullying from both classmates at her school, and her own religious, but abusive, mother.",347,Brian De Palma,"Sissy Spacek, Piper Laurie, Amy Irving, William Katt, John Travolta, Nancy Allen, Betty Buckley, P.J. Soles, Priscilla Pointer, Sydney Lassick, Stefan Gierasch, Michael Talbott, Doug Cox, Harry Gold, Noelle North",United States,1976,R,98 min,"Classic Movies, Cult Movies, Horror Movies","An outcast teen with telekinetic ability lashes out with her deadly power when the high school ""in crowd"" torments her with a sick joke at the prom.",netflix,,,,,,,,,,
405,7345,There Will Be Blood,8.1,/fa0RDkAlCec0STeMNAhPaF89q6U.jpg,"Ruthless silver miner, turned oil prospector, Daniel Plainview, moves to oil-rich California. Using his son to project a trustworthy, family-man image, Plainview cons local landowners into selling him their valuable properties for a pittance. However, local preacher Eli Sunday suspects Plainview's motives and intentions, starting a slow-burning feud that threatens both their lives.",4868,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Kevin J. O'Connor, Ciar√°n Hinds, Dillon Freasier, Sydney McCallister, David Willis, David Warshofsky, Colton Woodward, Russell Harvard",United States,2007,R,158 min,"Dramas, Independent Movies","An ambitious prospector strikes it rich and turns a simple village into a boomtown, stoking the ire of a charismatic young preacher.",netflix,,,,,,,,,,
406,7350,The Bucket List,7.2,/idbNSe8zsYKQL97dJApfOrDSdya.jpg,"Corporate billionaire Edward Cole and working class mechanic Carter Chambers are worlds apart. At a crossroads in their lives, they share a hospital room and discover they have two things in common: a desire to spend the time they have left doing everything they ever wanted to do and an unrealized need to come to terms with who they are. Together they embark on the road trip of a lifetime, becoming friends along the way and learning to live life to the fullest, with insight and humor.",2882,Rob Reiner,"Jack Nicholson, Morgan Freeman, Sean Hayes, Beverly Todd, Alfonso Freeman, Rob Morrow, Rowena King, Christopher Stapleton, Ian Anthony Dale, Richard McGonagle",United States,2007,PG-13,97 min,"Comedies, Dramas",Two terminally ill men bust out of the cancer ward with a plan to experience life to the fullest before they kick the bucket.,netflix,,,,,,,,,,
407,7364,Sahara,5.8,/kyY1onYxkKBDlJsheRsVbMaoQEM.jpg,"Scouring the ocean depths for treasure-laden shipwrecks is business as usual for a thrill-seeking underwater adventurer and his wisecracking buddy. But when these two cross paths with a beautiful doctor, they find themselves on the ultimate treasure hunt.",1102,Pierre Cor√©,"Robert Naylor, Angela Galuppo, Daniel Brochu, Mark Hauser, Andrew Shaver, Mathew Mackay, Richard Dumont, Brady Moffatt, Rick Jones, Nadia Verrucci, Sonja Ball","France, Canada",2017,TV-Y7,86 min,Children & Family Movies,"When his new love is captured by an evil snake charmer, a young cobra and his scorpion best friend set out across the desert on a wild rescue mission.",netflix,,,,,,,,,,
