,id,title,rating,image_path,overview,vote_count,cast,country,release,tv_rating,duration,genre,description,ott
572,21409,Dinosaur King,8.2,/y6KWd6u4sU6vXMA9b9Gj9M5NvtJ.jpg,,308,"Megumi Matsumoto, Matsuri Mizuguchi, Tomoko Kobashi, Asuka Tanii, Seiko Tamura, Veronica Taylor, Sebastian Arcelus, Kether Donohue, Rachael Lillis, Madeleine Blaustein",Japan,2008,TV-Y7,2 Seasons,"Anime Series, Kids' TV","Aided by tablets found near a downed meteorite, Max, Rex and Zoe race the evil Alpha Gang as they travel the globe in search of living dinosaurs.",netflix
573,100757,Outer Banks,8.7,/ovDgO2LPfwdVRfvScAqo9aMiIW.jpg,Be careful what you search for.,382,"Chase Stokes, Madelyn Cline, Madison Bailey, Jonathan Daviss, Rudy Pankow, Charles Esten, Adina Porter, Austin North, Drew Starkey",United States,2021,TV-MA,2 Seasons,"TV Action & Adventure, TV Dramas, Teen TV Shows","On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance.",netflix
574,97219,"Hi Bye, Mama!",8.1,/mc5nLj2EM480d6tlxKsj2GRfsDC.jpg,Shh! It’s a secret that I’m watching!,344,"Kim Tae-hee, Lee Kyoo-hyung, Go Bo-gyeol, Shin Dong-mi, Seo Woo-jin, Lee Si-woo, Oh Eui-sik, Ahn Nae-sang, Kim Mee-kyeong, Park Su-young, Kim Mi-su, Yoon Sa-bong",South Korea,2020,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","When the ghost of a woman gains a second chance at life for 49 days, she reappears in front of her remarried husband and young daughter.",netflix
575,103086,All For Love,7.4,/jjmLFjKKnxyRq07lyD29wPbRM2d.jpg,,278,"Ana María Estupiñán, Carlos Torres, Yuri Vargas, Jim Muñoz, Julio Sánchez Cóccaro, Alina Lozano, Valeria Gálviz, Juan Millán, Juan del Río, Mario Duarte",Colombia,2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","A penniless country boy goes in search of his runaway sister in Bogotá, where he falls for an aspiring singer, but gets tangled up in organized crime.",netflix
576,1570,The Adventures of Tintin,7.9,/nsdVuFcjB9ahhBUlkJyzXo0Pudq.jpg,,189,,,2019,7+,3 Seasons,"Action, Animation, Kids","The show tells the story of a young Belgian reporter named Tintin, and all the dangerous, exciting and humorous adventures he has all over the world.",amazon
577,31295,Misfits,7.7,/1yjmRIp8A92FlAw5JpouQ50ATUA.jpg,,550,,United Kingdom,2009,TV-MA,5 Seasons,"Comedy, Drama, International","Meet Kelly, Nathan, Curtis, Alisha and Simon, five unruly teenagers forced to do community service as payback for their crimes. When a freak electrical storm hits their town, strange things begin to happen to them and they soon realize they've turned into superheroes. Each of them possess a power they didn't choose or want, a power which reveals each of their deepest, darkest insecurities. But while they just want to finish their community service and get through the challenges of everyday teenage life, fate has another task in store for them - they must save their town from the evil that has descended upon it. If you think life's tough for your average superhero, it's even tougher when you have a curfew...",hulu
578,73157,Future Man,7.2,/49mOgAEa4eKpPsoBH8UvvXwEMDT.jpg,Ripping space and time a new one.,306,,United States,2017,TV-MA,3 Seasons,"Comedy, Science Fiction","Future Man stars Josh Hutcherson (The Hunger Games) as “Josh Futturman,” a janitor by day/gamer by night who is recruited by mysterious visitors to travel through time in order to prevent the extinction of humanity.",hulu
579,67175,Elena of Avalor,6.9,/iAHmqTaRfHSqIhIGkwr0v1NF81R.jpg,Becoming a leader will be her greatest adventure.,44,"Aimee Carrero, Jenna Ortega, Keith Ferguson, Jillian Reed, Carlos Alazraqui, Mikey Kelley",United States,2015,TV-Y7,3 Seasons,"Action-Adventure, Animation, Fantasy",Elena of Avalor must learn to rule!,disney
580,93297,Monarca,7.6,/oXiTq8dm9ugYjLCKFDnLE4pRMGT.jpg,The taste of betrayal.,114,"Irene Azuela, Juan Manuel Bernal, Osvaldo Benavides, Rosa María Bianchi, Antonio de la Vega, Luis Rábago, Sophie Gómez, James Hyde, Carla Adell, Regina Pavón, Dalí González, Alejandro de Hoyos Parera, José Manuel Rincón, Daniela Schmidt, Gabriela de la Garza",Mexico,2021,TV-MA,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Dramas","After 20 years, Ana María returns to Mexico and vies for control of her family's tequila empire as it threatens to crumble under corruption and secrets.",netflix
581,1481,The 4400,7.2,/nWpatnVtPVxjsn7mMiRZNAalEMf.jpg,,442,"Joel Gretsch, Jacqueline McKenzie, Patrick John Flueger, Conchita Campbell, Chad Faust, Richard Kahan, Mahershala Ali, Billy Campbell","United States, United Kingdom",2007,TV-14,4 Seasons,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy","4400 people who vanished over the course of five decades suddenly reappear. None have aged, and slowly it's revealed that they have mysterious powers.",netflix
582,46286,Ink Master,7.9,/zjLXVozNSDYuhuQXwrF2KJbU5sd.jpg,,55,"Dave Navarro, Chris Nuñez, Oliver Peck",United States,2012,TV-14,2 Seasons,Reality TV,"Ten of the country's most skilled tattoo artists compete for $100,000 and the title of Ink Master in this high-stakes elimination competition.",netflix
583,104555,The Great Heist,7.3,/j52EFofX8hCoenmvDC4AOppoPWu.jpg,,556,"Andrés Parra, Christian Tappan, Marcela Benjumea, Juan Sebastián Calero, Waldo Urrego, Rodrigo Jerez, Katherine Vélez, Paula Castaño, Pedro Suárez, Édgar Vittorino, Ramsés Ramos, Juan Pablo Barragán",Colombia,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","In 1994, a team of thieves plans an ambitious heist to steal millions from Colombia's Bank of the Republic. Inspired by true events.",netflix
584,46080,Masha and the Bear,6.9,/wPkeRunw71Mm10xQYKAwGG0NLgt.jpg,,321,"Alina Kukushkina, Boris Kutnevich, Giselle Nieto, Elsie Fisher",Russia,2019,TV-Y,4 Seasons,Kids' TV,"Lively little Masha lives near the forest, where she has many wonderful adventures with her best friend, a bear who used to be in the circus.",netflix
585,34634,Gold Rush,6.9,/zRlu3idMmqfrtnw7h2qHaAGzxnw.jpg,,116,,United States,2010,TV-PG,3 Seasons,Reality,"In the face of an economic meltdown, a group of men will risk everything to strike it rich mining for gold in the wilds of Alaska.",hulu
586,30778,Dinosaur Train,6.9,/9xsP4OCyXoP25Wq2IiNRJuygtqc.jpg,,18,Erika-Shaye Gair,,2010,TV-G,1 Season,"Animation, Kids","Dinosaur Train embraces and celebrates the fascination that preschoolers have with both dinosaurs and trains while sparking an interest in life science, natural history and paleontology.",amazon
